百胜中国,YUMC
新闻集团,NWS
汤姆逊-,TRI
时代华纳,TWX
迪士尼,DIS
清晰频道,CCU
哥伦比亚,CBS
康卡斯特,CMCSA
新闻集团,NWSA
潘多拉媒,P
通用汽车,GM
福特汽车,F
埃克森美,XOM
康菲石油,COP
力拓,RIO
卡特彼勒,CAT
杜克能源,DUK
哈里伯顿,HAL
斯伦贝谢,SLB
爱依斯,AES
威廉姆斯,WMB
贝克休斯,BHI
美国南方,SO
安特吉,ETR
艾斯能,EXC
美国电力,AEP
雪佛龙,CVX
英国石油,BP
本田汽车,HMC
丰田汽车,TM
联合太平,UNP
拱煤公司,ACIM
赫佩公司,HP
特斯拉,TSLA
阿维斯塔,AVA
AeroViro,AVAV
先进能源,AEIS
艾伦建材,AAON
自流资源,ARTNA
ATMOS能,ATO
美国DG能,ADGE
桑普拉能,SRE
壳牌石油,RDS.A
壳牌石油,RDS.B
菲亚特克,FCAU
法拉利,RACE
通用电气,GE
耐克,NKE
沃尔玛,WMT
宝洁,PG
波音,BA
陶氏化学,DOW
通用动力,GD
霍尼韦尔,HON
雷神,RTN
3M,MMM
雅诗兰黛,EL
雅芳,AVP
高露洁,CL
家得宝,HD
联邦快递,FDX
罗克韦尔,ROK
阿波罗,APOL
国际纸业,IP
塔吉特,TGT
诺福克南,NSC
惠好,WY
泰科国际,TYC
联合技术,UTX
杜邦,DD
美国铝业,AA
希尔顿酒,HLT
巴恩斯,B
佳能,CAJ
日本京瓷,KYO
好市多,COST
Ascena,ASNA
安德玛,UA
Astronic,ATRO
雅固拉,ACW
必乐透,BIG
哈雷摩托,HOG
实用动力,ATU
Astec实,ASTE
美国先锋,AVD
美国科工,ASEI
Atwood海,ATW
同意房产,ADC
美鹰服饰,AEO
亚什兰,ASH
爱芬奇,ANF
战神房产,ACRE
彭尼百货,JCP
Aptar,ATR
孩之宝,HAS
加拿大鹅,GOOS
3X多能源,ERX
标普ETF,SPY
道指ETF,DIA
能源ETF,XLE
金融ETF,XLF
健保ETF,XLV
工业ETF,XLI
材料ETF,XLB
电信ETF,IYZ
油价ETF,USO
气价ETF,UNG
金价ETF,GLD
3X空金融,FAZ
3X多金融,FAS
2X空标普,SDS
2X多标普,SSO
纳百ETF,QQQ
富时中股,FXI
英镑ETF,FXB
欧元ETF,FXE
三倍做多,YINN
Velocity,TVIX
3X多金矿,NUGT
中创100,CNXT
中国高级,CBON
